"filename", "language", "Dart", "comment", "blank", "total"
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locale_cache_keys.dart", "Dart", 4, 1, 1, 6
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locales.dart", "Dart", 7, 5, 7, 19
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\utility\general_padding.dart", "Dart", 0, 1, 2, 3
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\utility\string_constants.dart", "Dart", 9, 8, 7, 24
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_manager.dart", "Dart", 7, 5, 5, 17
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_service.dart", "Dart", 42, 3, 15, 60
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_manager.dart", "Dart", 7, 5, 5, 17
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_service.dart", "Dart", 18, 2, 5, 25
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\custom_localization.dart", "Dart", 30, 4, 9, 43
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\locale_keys.g.dart", "Dart", 58, 1, 3, 62
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.dart", "Dart", 233, 1, 59, 293
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.g.dart", "Dart", 96, 4, 19, 119
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.dart", "Dart", 22, 1, 9, 32
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.g.dart", "Dart", 42, 4, 8, 54
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\detail_page\detail_page.dart", "Dart", 33, 0, 5, 38
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_cubit.dart", "Dart", 15, 3, 7, 25
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_state.dart", "Dart", 16, 3, 8, 27
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet.dart", "Dart", 296, 29, 34, 359
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet_mixin.dart", "Dart", 10, 2, 7, 19
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_cubit.dart", "Dart", 47, 1, 10, 58
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_state.dart", "Dart", 20, 1, 9, 30
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\home_page_view.dart", "Dart", 90, 10, 14, 114
