"filename", "language", "Dart", "comment", "blank", "total"
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\api_keys.dart", "Dart", 13, 0, 2, 15
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\base_url.dart", "Dart", 11, 0, 2, 13
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locale_cache_keys.dart", "Dart", 1, 0, 1, 2
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\search_endpoint.dart", "Dart", 30, 1, 4, 35
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_manager.dart", "Dart", 2, 2, 2, 6
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_service.dart", "Dart", 13, 0, 1, 14
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\locale_keys.g.dart", "Dart", 12, 0, 0, 12
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.dart", "Dart", -233, -1, -59, -293
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.g.dart", "Dart", -96, -4, -19, -119
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.dart", "Dart", -22, -1, -9, -32
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.g.dart", "Dart", -42, -4, -8, -54
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet.dart", "Dart", 9, -18, 0, -9
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet_mixin.dart", "Dart", -2, 0, -4, -6
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_cubit.dart", "Dart", 105, 8, 5, 118
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\custom_search_delegate\custom_search_delegate.dart", "Dart", 129, 17, 14, 160
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\home_page_view.dart", "Dart", 36, 35, 4, 75
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\save_page.dart", "Dart", 19, 1, 1, 21
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\save_page\save_page_appbar\save_page_custom_appbar.dart", "Dart", -8, 0, -1, -9
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\settings_page\cubit\settingspage_cubit.dart", "Dart", 7, 0, 5, 12
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\settings_page\cubit\settingspage_state.dart", "Dart", 6, 1, 6, 13
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\settings_page\settings_page.dart", "Dart", 61, 1, 3, 65
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\google_maps_search_model\google_maps_search_model.dart", "Dart", 240, 0, 51, 291
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\google_maps_search_model\google_maps_search_model.g.dart", "Dart", 96, 4, 19, 119
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\google_maps_search_model\google_search_image_model.dart", "Dart", 29, 1, 10, 40
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\google_maps_search_model\google_search_image_model.g.dart", "Dart", 11, 4, 5, 20
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\local_storage_model\save_location.dart", "Dart", 28, 1, 12, 41
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\local_storage_model\save_location.g.dart", "Dart", 48, 4, 8, 60
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\models\test\test_model.dart", "Dart", 239, 0, 32, 271
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\services\google_maps\image\google_search_response_image.dart", "Dart", 11, 1, 2, 14
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\services\google_maps\search\google_maps_search.dart", "Dart", 11, 0, 2, 13
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\services\network_services\network_service_manager.dart", "Dart", 42, 0, 4, 46
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\services\network_services\network_services_interface.dart", "Dart", 12, 1, 5, 18
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\func\general\general_func.dart", "Dart", 69, 0, -1, 68
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\func\validate\validate_fun.dart", "Dart", 2, 0, -2, 0
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\alert_dialog\detail_dialog.dart", "Dart", 15, 0, 0, 15
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\dropdown_button_formfield\custom_dropdown_button_form_field.dart", "Dart", 1, 0, 0, 1
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\utility\widget\texts\info_text.dart", "Dart", -2, 0, 0, -2
"Total", "-", 903, 54, 97, 1054
