"filename", "language", "Dart", "comment", "blank", "total"
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locale_cache_keys.dart", "Dart", 4, 1, 1, 6
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\enum\locales.dart", "Dart", 7, 5, 7, 19
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\utility\general_padding.dart", "Dart", 0, 1, 2, 3
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\constants\utility\string_constants.dart", "Dart", 9, 8, 7, 24
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_manager.dart", "Dart", 7, 5, 5, 17
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\hive\hive_local_storage_service.dart", "Dart", 42, 3, 14, 59
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_manager.dart", "Dart", 7, 5, 5, 17
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\cache\shared_preferences\shared_preferences_service.dart", "Dart", 18, 2, 5, 25
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\custom_localization.dart", "Dart", 30, 4, 9, 43
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\localization\locale_keys.g.dart", "Dart", 34, 1, 3, 38
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.dart", "Dart", 233, 1, 59, 293
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\google_maps_search_model\google_maps_search_model.g.dart", "Dart", 96, 4, 19, 119
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.dart", "Dart", 21, 1, 8, 30
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\core\models\local_storage_model\save_location.g.dart", "Dart", 39, 4, 8, 51
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_cubit.dart", "Dart", 12, 3, 6, 21
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\cubit\bottom_sheet_state.dart", "Dart", 6, 2, 3, 11
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet.dart", "Dart", 252, 11, 21, 284
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\bottom_sheet\custom_bottom_sheet_mixin.dart", "Dart", 8, 2, 5, 15
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_cubit.dart", "Dart", 6, 0, 3, 9
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\cubit\home_state.dart", "Dart", 7, 0, 4, 11
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\home\home_page_view.dart", "Dart", 67, 10, 12, 89
"c:\kodlar ve egitimler\flutter_projeler\flutter_maps_note\flutter_maps_note\lib\feature\onboard_pages\app_explain_page.dart", "Dart", 0, 1, 0, 1
